SOURCE_ID,g_ra,g_dec,phot_g_mean_mag,bp_rp,parallax,pmra,pmdec,j_m,h_m,ks_m,ph_qual
604921958681906176,132.73200070279952,11.870734183337936,11.829176,0.76370907,1.1535896792674465,-11.319337720824436,-2.974671033704088,10.852,10.586,10.515,AAA
604922164840316672,132.80283852526637,11.878444829397731,10.222875,1.2390194,1.1771229084364088,-10.889599866003579,-2.8349680661291017,8.65,8.122,7.976,AAA
604922302279259008,132.81900117845774,11.904198115103897,13.402018,0.7782326,1.1565504825451691,-10.704862106915012,-2.8825533202109552,12.441,12.203,12.116,AAA
604922748956025216,132.8990278346759,11.892973386369523,12.008891,1.1517344,1.1370045521599306,-11.215168887955025,-2.768860561402737,10.522,10.023,9.941,AAA
604922779020036736,132.87993579554507,11.888320878491179,13.567353,0.7629566,1.1504785003477478,-10.752222471218273,-2.9912253092153875,12.603,12.327,12.267,AAA
604922779020036992,132.8830724393302,11.88658613865033,12.938089,0.73738,1.1599406816400124,-11.068959465113068,-3.110246742822287,12.013,11.724,11.67,AAA
604922886394972160,132.92173740543262,11.908062443017352,12.646031,0.7396383,1.2049308891291945,-11.067134202425379,-2.9028143256332104,11.703,11.466,11.397,AAA
604922920754523136,132.90458932171813,11.916652622822426,13.064538,0.7538004,1.1466871609564244,-10.814863037037977,-2.9247398888522333,12.096,11.819,11.763,AAA
604922985178465152,132.87248424685583,11.903866301242159,12.686858,0.7643986,1.1048762648496964,-10.76953785720097,-2.7566059423430302,11.726,11.496,11.382,AAA
604923126912959104,132.88354241088408,11.91905446290901,13.500302,0.80389977,1.1911351747846974,-11.002818180143164,-2.71523604682063,12.479,12.17,12.11,AAA
604923367432823808,132.93281414390037,11.945133727472605,10.234691,1.2470694,1.1780903783504708,-11.084110996404632,-2.9578852877654853,8.618,8.114,7.996,AAA
